route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_desc,route_url,continuous_pickup,continuous_drop_off,competent_authority,contract
f80f61338e8c6f6566df818f18635015,LAANE_VIRUMAA_10230847,46,Kadrina - Salda - Vahakulmu - Tapa,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
fa8f6e9ead78595f9920d6a35db5b684,LAANE_VIRUMAA_10230847,47B,Rakvere - Ubja - Uhtna - Ubja - Rakvere,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
88091338c4c39ce4c244dd328b1f9540,LAANE_VIRUMAA_10230847,38,Rakvere - Vihula - Vergi - Võsu,3,3bb5db,000000,Liin on riigipühadel käigus pühapäevase sõiduplaani järgi<br>Pühapäevane sõiduplaan kehtib 1. juuni - 31. august,,,,Lääne-Virumaa,Lääne-Virumaa
f6fe65d16f77c7cd4a3d2add59670877,LAANE_VIRUMAA_10230847,65,Rakvere - Laekvere - Avinurme - Mustvee,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
6706d5179033066bb25a02db98dc372e,LAANE_VIRUMAA_10230847,47,Rakvere - Uhtna - Ubja - Rakvere,3,3bb5db,000000,Liin on riigipühadel käigus pühapäevase sõiduplaani järgi,,,,Lääne-Virumaa,Lääne-Virumaa
79105834bf7c78c78d62581bfb8586c1,LAANE_VIRUMAA_10230847,41B,Rakvere - Vaeküla - Põlula,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
e45c25163cc19852dcea4752d704c110,LAANE_VIRUMAA_10230847,16,Rakvere - Tapa,3,3bb5db,000000,Liin on riigipühadel käigus pühapäevase sõiduplaani järgi,,,,Lääne-Virumaa,Lääne-Virumaa
ae999dee53e09b43c3016cf78cbe2755,LAANE_VIRUMAA_10230847,36A,Rakvere - Väike-Maarja - Rakke,3,3bb5db,000000,Liin on riigipühadel käigus pühapäevase sõiduplaani järgi,,,,Lääne-Virumaa,Lääne-Virumaa
a7d6ff8702e075b2c5b0b588d758bb3f,LAANE_VIRUMAA_10230847,9,Kadrina - Undla - Vohnja - Tapa,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
303d01dbdd5ec9caea1a209ad2af9158,LAANE_VIRUMAA_10230847,57,Rakvere - Sõmeru - Vaeküla - Rakvere,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
4d6d3ca69659c5e40b1d63c8c8f82576,LAANE_VIRUMAA_10230847,15,Rakvere - Kunda,3,3bb5db,000000,Liin on riigipühadel käigus pühapäevase sõiduplaani järgi,,,,Lääne-Virumaa,Lääne-Virumaa
21b0942800b03c3468dc66a3304fa0b3,LAANE_VIRUMAA_10230847,40,Rakvere - Väike-Maarja - Kiltsi - Rakke,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
72e13a488ee800a6147bbfea0cfb1a7e,LAANE_VIRUMAA_10230847,61,Kadrina - Loksa - Rakvere,3,3bb5db,000000,Liin ei ole käigus riigipühadel<br>Peatuses Viru raba ümberistumine liinile/liinilt 18V,,,,Lääne-Virumaa,Lääne-Virumaa
2f15805a7f8d8c3e8c109832fa854f3e,LAANE_VIRUMAA_10230847,45,Rakvere - Roela - Simuna - Väike-Maarja - Rakvere,3,3bb5db,000000,Liin on riigipühadel käigus pühapäevase sõiduplaani järgi,,,,Lääne-Virumaa,Lääne-Virumaa
0ea442ec13abda6ac35002ec1da32203,LAANE_VIRUMAA_10230847,33,Rakvere - Viru-Nigula - Mahu - Aseri,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
13950f541dde88c503365ab6d80bbd5d,LAANE_VIRUMAA_10230847,34A,Rakvere - Karitsa - Lasila,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
ca44c3630383d32e1a06f1ddf931d368,LAANE_VIRUMAA_10230847,35,Rakvere - Sagadi - Võsu - Käsmu,3,3bb5db,000000,,,,,Lääne-Virumaa,Lääne-Virumaa
12ea785386b06e57e2eb1f48139650b2,LAANE_VIRUMAA_10230847,65A,Rakvere - Laekvere,3,3bb5db,000000,Liin on riigipühadel käigus pühapäevase sõiduplaani järgi,,,,Lääne-Virumaa,Lääne-Virumaa
